Time,Load Cell,Moving Forward
2841576.0,0.0183374,0.0
2841654.0,-0.01305253,0.0
2841732.0,0.01544229,0.0
2841810.0,-0.00655102,0.0
2841888.0,0.00172823,0.0
2841967.0,-0.00837952,0.0
2842045.0,-0.00685574,0.0
2842123.0,-0.00716047,0.0
2842201.0,0.00345513,0.0
2842279.0,-0.0099033,0.0
2842357.0,0.00284568,0.0
2842435.0,-0.0146779,0.0
2842513.0,-0.00177649,0.0
2842592.0,0.0100074,0.0
2842670.0,0.01655967,0.0
2842748.0,0.00762021,0.0
2842826.0,-0.00858272,0.0
2842904.0,-0.01513499,0.0
2842982.0,0.00604567,0.0
2843060.0,0.00188059,0.0
2843138.0,0.00010285,0.0
2843216.0,0.00924558,0.0
2843295.0,-0.00822716,0.0
2843373.0,0.00416633,0.0
2843451.0,0.00188059,0.0
2843529.0,-0.00507801,0.0
2843607.0,0.00543607,0.0
2843685.0,-0.0097001,0.0
2843763.0,0.00965183,0.0
2843841.0,0.00050918,0.0
2843919.0,0.00462342,0.0
2843998.0,-0.0105129,0.0
2844076.0,0.003252,0.0
2844154.0,-0.000405,0.0
2844232.0,-0.00025271,0.0
2844310.0,0.01808359,0.0
2844388.0,-0.00487488,0.0
2844466.0,-0.01183347,0.0
2844544.0,-0.00385895,0.0
2844623.0,-0.01086831,0.0
2844701.0,0.00188059,0.0
2844779.0,0.00492814,0.0
2844857.0,-0.00263998,0.0
2844935.0,-0.01665877,0.0
2845013.0,-0.00401139,0.0
2845091.0,-0.00817632,0.0
2845169.0,-0.00695742,0.0
2845247.0,-0.00756687,0.0
2845326.0,-0.01107159,0.0
2845404.0,0.01320739,0.0
2845482.0,-0.01930007,0.0
2845560.0,0.01457873,0.0
2845638.0,0.01127729,0.0
2845716.0,-0.0121382,0.0
2845794.0,-0.00893828,0.0
2845872.0,-0.01594772,0.0
2845950.0,0.02585484,0.0
2846029.0,0.00015361,0.0
2846107.0,0.00467418,0.0
2846185.0,-0.01081762,0.0
2846263.0,0.00518218,0.0
2846341.0,-0.01132555,0.0
2846419.0,0.00492814,0.0
2846497.0,-0.00426528,0.0
2846575.0,-0.00655102,0.0
2846653.0,0.0036584,0.0
2846732.0,-0.000405,0.0
2846810.0,0.01503596,0.0
2846888.0,-0.01803011,0.0
2846966.0,-0.01147791,0.0
2847044.0,0.00254088,0.0
2847122.0,-0.00680491,0.0
2847200.0,-0.01442394,0.0
2847278.0,0.00111878,0.0
2847356.0,-0.00802396,0.0
2847435.0,-0.00746527,0.0
2847513.0,0.01097256,0.0
2847591.0,0.02819126,0.0
2847669.0,0.00111878,0.0
2847747.0,0.00543607,0.0
2847825.0,0.00086474,0.0
2847903.0,0.00223615,0.0
2847981.0,0.01986118,0.0
2848060.0,0.0052837,0.0
